Avg5, Avg30, Avg100, Avg200
5845, 5893, 5987, 5860
5880, 5891, 5987, 5861
5905, 5887, 5988, 5863
5924, 5882, 5988, 5865
5929, 5880, 5989, 5867
5937, 5881, 5990, 5871
5933, 5878, 5990, 5873
5924, 5872, 5989, 5876
5920, 5868, 5987, 5879
5924, 5865, 5987, 5883
5911, 5863, 5986, 5885
5900, 5859, 5985, 5888
5900, 5855, 5984, 5891
5893, 5851, 5982, 5893
5884, 5847, 5981, 5897
5890, 5846, 5980, 5900
5905, 5848, 5980, 5903
5918, 5856, 5978, 5906
5935, 5862, 5976, 5909
5950, 5871, 5974, 5912
5968, 5883, 5972, 5915
5991, 5894, 5972, 5919
6015, 5905, 5973, 5922
6054, 5918, 5974, 5926
6084, 5930, 5976, 5930
6112, 5943, 5977, 5935
6146, 5959, 5980, 5939
6178, 5973, 5983, 5942
6205, 5988, 5987, 5945
6216, 5998, 5990, 5948
6219, 6006, 5992, 5950
6208, 6014, 5995, 5952
6204, 6023, 5998, 5954
6216, 6037, 6002, 5957
6250, 6051, 6007, 5960
6272, 6062, 6012, 5962
6286, 6073, 6016, 5964
6303, 6086, 6021, 5967
6277, 6097, 6024, 5969
6247, 6105, 6028, 5971
6233, 6115, 6030, 5972
6224, 6126, 6032, 5974
6199, 6136, 6034, 5976
6196, 6147, 6035, 5977
6189, 6156, 6036, 5978
6180, 6164, 6036, 5980
6198, 6175, 6038, 5982
6234, 6189, 6041, 5985
6273, 6203, 6043, 5987
6326, 6219, 6046, 5989
6372, 6231, 6049, 5992
6398, 6243, 6052, 5995
6413, 6255, 6055, 5997
